Postcode district,Number of XL Bully applications approved,Rank,Per 100k residents
BD23,10,=1478,33.1983268
BN16,10,=1478,33.49186148
BN20,10,=1478,47.01015419
BR7,10,=1478,53.20280911
BS32,10,=1478,40.39587962
BS39,10,=1478,57.64020981
BS48,10,=1478,42.50977725
CF64,10,=1478,26.6858805
CV13,10,=1478,90.44862518
DN18,10,=1478,78.2962731
EX20,10,=1478,44.83299709
GU22,10,=1478,27.32315091
GU24,10,=1478,48.99078973
GU47,10,=1478,52.64266161
HA1,10,=1478,22.20347262
HP18,10,=1478,44.37541602
HX4,10,=1478,83.13934154
KT14,10,=1478,72.17090069
LA12,10,=1478,49.49759937
LD1,10,=1478,87.31336768
LL53,10,=1478,62.34413965
LS6,10,=1478,20.08516108
NE25,10,=1478,32.91097581
NE42,10,=1478,80.25682183
NE62,10,=1478,110.4728237
NN29,10,=1478,84.65966813
NR15,10,=1478,62.12337703
NW4,10,=1478,29.32895354
PL7,10,=1478,31.90810466
RG20,10,=1478,50.24620641
SA73,10,=1478,47.3641832
SO23,10,=1478,42.90188339
TA21,10,=1478,47.138682
TA4,10,=1478,50.61241016
TS27,10,=1478,84.56659619
W11,10,=1478,34.26065506
WA6,10,=1478,51.22163602
WR10,10,=1478,50.51015254
AL5,0-9,-,-
AL6,0-9,-,-
AL8,0-9,-,-
AL9,0-9,-,-
B1,0-9,-,-
B10,0-9,-,-
B2,0-9,-,-
B3,0-9,-,-
B4,0-9,-,-
B40,0-9,-,-
B48,0-9,-,-
B49,0-9,-,-
B5,0-9,-,-
B6,0-9,-,-
B72,0-9,-,-
B9,0-9,-,-
B91,0-9,-,-
B94,0-9,-,-
B95,0-9,-,-
B96,0-9,-,-
BA1,0-9,-,-
BA10,0-9,-,-
BA15,0-9,-,-
BA16,0-9,-,-
BA20,0-9,-,-
BA22,0-9,-,-
BA5,0-9,-,-
BA7,0-9,-,-
BA8,0-9,-,-
BA9,0-9,-,-
BD1,0-9,-,-
BD11,0-9,-,-
BD14,0-9,-,-
BD15,0-9,-,-
BD16,0-9,-,-
BD17,0-9,-,-
BD24,0-9,-,-
BD3,0-9,-,-
BH13,0-9,-,-
BH14,0-9,-,-
BH18,0-9,-,-
BH19,0-9,-,-
BH2,0-9,-,-
BH24,0-9,-,-
BH3,0-9,-,-
BH31,0-9,-,-
BH4,0-9,-,-
BH5,0-9,-,-
BH7,0-9,-,-
BL0,0-9,-,-
BN25,0-9,-,-
BN26,0-9,-,-
BN42,0-9,-,-
BN44,0-9,-,-
BN45,0-9,-,-
BN5,0-9,-,-
BN6,0-9,-,-
BN7,0-9,-,-
BN8,0-9,-,-
BS1,0-9,-,-
BS2,0-9,-,-
BS25,0-9,-,-
BS26,0-9,-,-
BS27,0-9,-,-
BS28,0-9,-,-
BS29,0-9,-,-
BS36,0-9,-,-
BS40,0-9,-,-
BS41,0-9,-,-
BS49,0-9,-,-
BS6,0-9,-,-
BS8,0-9,-,-
CA10,0-9,-,-
CA11,0-9,-,-
CA12,0-9,-,-
CA13,0-9,-,-
CA15,0-9,-,-
CA16,0-9,-,-
CA17,0-9,-,-
CA18,0-9,-,-
CA19,0-9,-,-
CA20,0-9,-,-
CA21,0-9,-,-
CA23,0-9,-,-
CA24,0-9,-,-
CA26,0-9,-,-
CA27,0-9,-,-
CA3,0-9,-,-
CA4,0-9,-,-
CA5,0-9,-,-
CA6,0-9,-,-
CA7,0-9,-,-
CA8,0-9,-,-
CA9,0-9,-,-
CB10,0-9,-,-
CB11,0-9,-,-
CB2,0-9,-,-
CB21,0-9,-,-
CB22,0-9,-,-
CB25,0-9,-,-
CB3,0-9,-,-
CF10,0-9,-,-
CF35,0-9,-,-
CF36,0-9,-,-
CF61,0-9,-,-
CF71,0-9,-,-
CH47,0-9,-,-
CH48,0-9,-,-
CH60,0-9,-,-
CH64,0-9,-,-
CM12,0-9,-,-
CM24,0-9,-,-
CM4,0-9,-,-
CM99,0-9,-,-
CO11,0-9,-,-
CO8,0-9,-,-
CT13,0-9,-,-
CT15,0-9,-,-
CT21,0-9,-,-
CT8,0-9,-,-
CV36,0-9,-,-
CW3,0-9,-,-
CW4,0-9,-,-
CW6,0-9,-,-
DA4,0-9,-,-
DA5,0-9,-,-
DE45,0-9,-,-
DE73,0-9,-,-
DH2,0-9,-,-
DL11,0-9,-,-
DL2,0-9,-,-
DL7,0-9,-,-
DL8,0-9,-,-
DN38,0-9,-,-
DN39,0-9,-,-
DN41,0-9,-,-
DT1,0-9,-,-
DT10,0-9,-,-
DT2,0-9,-,-
DT7,0-9,-,-
DT8,0-9,-,-
DY12,0-9,-,-
DY14,0-9,-,-
DY7,0-9,-,-
E18,0-9,-,-
E1W,0-9,-,-
E20,0-9,-,-
EC1A,0-9,-,-
EC1M,0-9,-,-
EC1N,0-9,-,-
EC1R,0-9,-,-
EC1V,0-9,-,-
EC1Y,0-9,-,-
EC2A,0-9,-,-
EC2M,0-9,-,-
EC2N,0-9,-,-
EC2R,0-9,-,-
EC2V,0-9,-,-
EC2Y,0-9,-,-
EC3A,0-9,-,-
EC3M,0-9,-,-
EC3N,0-9,-,-
EC3R,0-9,-,-
EC3V,0-9,-,-
EC4A,0-9,-,-
EC4M,0-9,-,-
EC4N,0-9,-,-
EC4R,0-9,-,-
EC4V,0-9,-,-
EC4Y,0-9,-,-
EX10,0-9,-,-
EX11,0-9,-,-
EX12,0-9,-,-
EX13,0-9,-,-
EX17,0-9,-,-
EX18,0-9,-,-
EX19,0-9,-,-
EX21,0-9,-,-
EX22,0-9,-,-
EX23,0-9,-,-
EX24,0-9,-,-
EX3,0-9,-,-
EX33,0-9,-,-
EX35,0-9,-,-
EX36,0-9,-,-
EX37,0-9,-,-
EX38,0-9,-,-
EX6,0-9,-,-
EX7,0-9,-,-
EX9,0-9,-,-
GL11,0-9,-,-
GL12,0-9,-,-
GL13,0-9,-,-
GL18,0-9,-,-
GL19,0-9,-,-
GL53,0-9,-,-
GL54,0-9,-,-
GL55,0-9,-,-
GL6,0-9,-,-
GL8,0-9,-,-
GL9,0-9,-,-
GU1,0-9,-,-
GU10,0-9,-,-
GU16,0-9,-,-
GU17,0-9,-,-
GU18,0-9,-,-
GU19,0-9,-,-
GU20,0-9,-,-
GU23,0-9,-,-
GU25,0-9,-,-
GU26,0-9,-,-
GU27,0-9,-,-
GU28,0-9,-,-
GU29,0-9,-,-
GU3,0-9,-,-
GU30,0-9,-,-
GU31,0-9,-,-
GU32,0-9,-,-
GU33,0-9,-,-
GU4,0-9,-,-
GU46,0-9,-,-
GU5,0-9,-,-
GU51,0-9,-,-
GU52,0-9,-,-
GU7,0-9,-,-
GU8,0-9,-,-
GU9,0-9,-,-
HA6,0-9,-,-
HG2,0-9,-,-
HG3,0-9,-,-
HG5,0-9,-,-
HP11,0-9,-,-
HP15,0-9,-,-
HP16,0-9,-,-
HP17,0-9,-,-
HP23,0-9,-,-
HP27,0-9,-,-
HP4,0-9,-,-
HP6,0-9,-,-
HP7,0-9,-,-
HP8,0-9,-,-
HP9,0-9,-,-
HR3,0-9,-,-
HR5,0-9,-,-
HR7,0-9,-,-
HR8,0-9,-,-
HU1,0-9,-,-
HU10,0-9,-,-
HU11,0-9,-,-
HU13,0-9,-,-
HU14,0-9,-,-
HU15,0-9,-,-
HU16,0-9,-,-
HU18,0-9,-,-
HU19,0-9,-,-
HU20,0-9,-,-
HX5,0-9,-,-
HX7,0-9,-,-
IG2,0-9,-,-
IG4,0-9,-,-
IG9,0-9,-,-
IP10,0-9,-,-
IP12,0-9,-,-
IP13,0-9,-,-
IP15,0-9,-,-
IP16,0-9,-,-
IP17,0-9,-,-
IP18,0-9,-,-
IP19,0-9,-,-
IP20,0-9,-,-
IP21,0-9,-,-
IP23,0-9,-,-
IP26,0-9,-,-
IP29,0-9,-,-
IP30,0-9,-,-
IP32,0-9,-,-
IP33,0-9,-,-
IP5,0-9,-,-
IP6,0-9,-,-
IP8,0-9,-,-
IP9,0-9,-,-
KT10,0-9,-,-
KT11,0-9,-,-
KT13,0-9,-,-
KT17,0-9,-,-
KT18,0-9,-,-
KT2,0-9,-,-
KT21,0-9,-,-
KT23,0-9,-,-
KT24,0-9,-,-
KT5,0-9,-,-
KT7,0-9,-,-
L1,0-9,-,-
L2,0-9,-,-
L29,0-9,-,-
L38,0-9,-,-
LA10,0-9,-,-
LA11,0-9,-,-
LA15,0-9,-,-
LA16,0-9,-,-
LA17,0-9,-,-
LA18,0-9,-,-
LA19,0-9,-,-
LA20,0-9,-,-
LA21,0-9,-,-
LA22,0-9,-,-
LA23,0-9,-,-
LA6,0-9,-,-
LA7,0-9,-,-
LA8,0-9,-,-
LD2,0-9,-,-
LD4,0-9,-,-
LD5,0-9,-,-
LD6,0-9,-,-
LD7,0-9,-,-
LD8,0-9,-,-
LE14,0-9,-,-
LE6,0-9,-,-
LE65,0-9,-,-
LL17,0-9,-,-
LL20,0-9,-,-
LL21,0-9,-,-
LL23,0-9,-,-
LL24,0-9,-,-
LL25,0-9,-,-
LL26,0-9,-,-
LL27,0-9,-,-
LL28,0-9,-,-
LL32,0-9,-,-
LL33,0-9,-,-
LL34,0-9,-,-
LL35,0-9,-,-
LL36,0-9,-,-
LL37,0-9,-,-
LL38,0-9,-,-
LL39,0-9,-,-
LL40,0-9,-,-
LL41,0-9,-,-
LL42,0-9,-,-
LL43,0-9,-,-
LL44,0-9,-,-
LL45,0-9,-,-
LL46,0-9,-,-
LL47,0-9,-,-
LL48,0-9,-,-
LL49,0-9,-,-
LL51,0-9,-,-
LL52,0-9,-,-
LL56,0-9,-,-
LL58,0-9,-,-
LL59,0-9,-,-
LL60,0-9,-,-
LL61,0-9,-,-
LL62,0-9,-,-
LL63,0-9,-,-
LL64,0-9,-,-
LL66,0-9,-,-
LL67,0-9,-,-
LL68,0-9,-,-
LL69,0-9,-,-
LL70,0-9,-,-
LL71,0-9,-,-
LL72,0-9,-,-
LL73,0-9,-,-
LL74,0-9,-,-
LL75,0-9,-,-
LL76,0-9,-,-
LL77,0-9,-,-
LL78,0-9,-,-
LN10,0-9,-,-
LN13,0-9,-,-
LN3,0-9,-,-
LN7,0-9,-,-
LN8,0-9,-,-
LN9,0-9,-,-
LS1,0-9,-,-
LS18,0-9,-,-
LS19,0-9,-,-
LS2,0-9,-,-
LS20,0-9,-,-
LS21,0-9,-,-
LS22,0-9,-,-
LS23,0-9,-,-
LS24,0-9,-,-
LS29,0-9,-,-
LS3,0-9,-,-
LS4,0-9,-,-
LS5,0-9,-,-
M1,0-9,-,-
M17,0-9,-,-
M2,0-9,-,-
M3,0-9,-,-
M4,0-9,-,-
M50,0-9,-,-
M60,0-9,-,-
ME18,0-9,-,-
MK1,0-9,-,-
MK15,0-9,-,-
MK46,0-9,-,-
MK5,0-9,-,-
MK7,0-9,-,-
MK8,0-9,-,-
MK9,0-9,-,-
N14,0-9,-,-
N1C,0-9,-,-
N20,0-9,-,-
N21,0-9,-,-
N3,0-9,-,-
N6,0-9,-,-
NE1,0-9,-,-
NE17,0-9,-,-
NE18,0-9,-,-
NE19,0-9,-,-
NE2,0-9,-,-
NE20,0-9,-,-
NE26,0-9,-,-
NE30,0-9,-,-
NE35,0-9,-,-
NE36,0-9,-,-
NE39,0-9,-,-
NE41,0-9,-,-
NE43,0-9,-,-
NE44,0-9,-,-
NE45,0-9,-,-
NE46,0-9,-,-
NE47,0-9,-,-
NE48,0-9,-,-
NE49,0-9,-,-
NE64,0-9,-,-
NE66,0-9,-,-
NE67,0-9,-,-
NE68,0-9,-,-
NE69,0-9,-,-
NE7,0-9,-,-
NE70,0-9,-,-
NE71,0-9,-,-
NG1,0-9,-,-
NG23,0-9,-,-
NG25,0-9,-,-
NG32,0-9,-,-
NG33,0-9,-,-
NG90,0-9,-,-
NP15,0-9,-,-
NP24,0-9,-,-
NP25,0-9,-,-
NP8,0-9,-,-
NR12,0-9,-,-
NR16,0-9,-,-
NR17,0-9,-,-
NR19,0-9,-,-
NR21,0-9,-,-
NR22,0-9,-,-
NR23,0-9,-,-
NR24,0-9,-,-
NR25,0-9,-,-
NR26,0-9,-,-
NR27,0-9,-,-
NR35,0-9,-,-
NR9,0-9,-,-
NW11,0-9,-,-
NW7,0-9,-,-
NW8,0-9,-,-
OL3,0-9,-,-
OX1,0-9,-,-
OX17,0-9,-,-
OX20,0-9,-,-
OX25,0-9,-,-
OX27,0-9,-,-
OX33,0-9,-,-
OX39,0-9,-,-
OX44,0-9,-,-
OX49,0-9,-,-
OX7,0-9,-,-
OX9,0-9,-,-
PE23,0-9,-,-
PE31,0-9,-,-
PE33,0-9,-,-
PE35,0-9,-,-
PE36,0-9,-,-
PE37,0-9,-,-
PE38,0-9,-,-
PE5,0-9,-,-
PE8,0-9,-,-
PL10,0-9,-,-
PL11,0-9,-,-
PL12,0-9,-,-
PL13,0-9,-,-
PL15,0-9,-,-
PL16,0-9,-,-
PL17,0-9,-,-
PL18,0-9,-,-
PL19,0-9,-,-
PL20,0-9,-,-
PL21,0-9,-,-
PL22,0-9,-,-
PL23,0-9,-,-
PL27,0-9,-,-
PL28,0-9,-,-
PL29,0-9,-,-
PL30,0-9,-,-
PL32,0-9,-,-
PL33,0-9,-,-
PL34,0-9,-,-
PL35,0-9,-,-
PL8,0-9,-,-
PO10,0-9,-,-
PO11,0-9,-,-
PO17,0-9,-,-
PO18,0-9,-,-
PO31,0-9,-,-
PO32,0-9,-,-
PO34,0-9,-,-
PO35,0-9,-,-
PO37,0-9,-,-
PO39,0-9,-,-
PO40,0-9,-,-
PO41,0-9,-,-
RG10,0-9,-,-
RG25,0-9,-,-
RG27,0-9,-,-
RG28,0-9,-,-
RG29,0-9,-,-
RG45,0-9,-,-
RG5,0-9,-,-
RG6,0-9,-,-
RG8,0-9,-,-
RG9,0-9,-,-
RH18,0-9,-,-
RH3,0-9,-,-
RH9,0-9,-,-
S1,0-9,-,-
S10,0-9,-,-
S11,0-9,-,-
S17,0-9,-,-
S3,0-9,-,-
S32,0-9,-,-
S33,0-9,-,-
S7,0-9,-,-
SA16,0-9,-,-
SA17,0-9,-,-
SA19,0-9,-,-
SA2,0-9,-,-
SA20,0-9,-,-
SA3,0-9,-,-
SA31,0-9,-,-
SA32,0-9,-,-
SA34,0-9,-,-
SA35,0-9,-,-
SA36,0-9,-,-
SA37,0-9,-,-
SA38,0-9,-,-
SA39,0-9,-,-
SA40,0-9,-,-
SA41,0-9,-,-
SA42,0-9,-,-
SA44,0-9,-,-
SA45,0-9,-,-
SA46,0-9,-,-
SA47,0-9,-,-
SA62,0-9,-,-
SA63,0-9,-,-
SA64,0-9,-,-
SA65,0-9,-,-
SA66,0-9,-,-
SA67,0-9,-,-
SA68,0-9,-,-
SA69,0-9,-,-
SA7,0-9,-,-
SA70,0-9,-,-
SA71,0-9,-,-
SA8,0-9,-,-
SE21,0-9,-,-
SG10,0-9,-,-
SG11,0-9,-,-
SG16,0-9,-,-
SG3,0-9,-,-
SG7,0-9,-,-
SG9,0-9,-,-
SK17,0-9,-,-
SK22,0-9,-,-
SK23,0-9,-,-
SL5,0-9,-,-
SL8,0-9,-,-
SL9,0-9,-,-
SN13,0-9,-,-
SN15,0-9,-,-
SN16,0-9,-,-
SN26,0-9,-,-
SN9,0-9,-,-
SO20,0-9,-,-
SO21,0-9,-,-
SO22,0-9,-,-
SO24,0-9,-,-
SO42,0-9,-,-
SO43,0-9,-,-
SO51,0-9,-,-
SO52,0-9,-,-
SP3,0-9,-,-
SP5,0-9,-,-
SP6,0-9,-,-
SP8,0-9,-,-
SP9,0-9,-,-
SR1,0-9,-,-
ST11,0-9,-,-
ST12,0-9,-,-
ST20,0-9,-,-
ST21,0-9,-,-
ST9,0-9,-,-
SW10,0-9,-,-
SW14,0-9,-,-
SW1A,0-9,-,-
SW1E,0-9,-,-
SW1H,0-9,-,-
SW1P,0-9,-,-
SW1V,0-9,-,-
SW1W,0-9,-,-
SW1X,0-9,-,-
SW1Y,0-9,-,-
SW3,0-9,-,-
SW5,0-9,-,-
SW7,0-9,-,-
SY10,0-9,-,-
SY14,0-9,-,-
SY15,0-9,-,-
SY17,0-9,-,-
SY18,0-9,-,-
SY19,0-9,-,-
SY20,0-9,-,-
SY21,0-9,-,-
SY22,0-9,-,-
SY24,0-9,-,-
SY25,0-9,-,-
SY5,0-9,-,-
SY6,0-9,-,-
SY7,0-9,-,-
SY8,0-9,-,-
SY9,0-9,-,-
TA10,0-9,-,-
TA11,0-9,-,-
TA12,0-9,-,-
TA13,0-9,-,-
TA14,0-9,-,-
TA15,0-9,-,-
TA16,0-9,-,-
TA17,0-9,-,-
TA18,0-9,-,-
TA19,0-9,-,-
TA22,0-9,-,-
TA23,0-9,-,-
TA24,0-9,-,-
TA3,0-9,-,-
TA5,0-9,-,-
TA8,0-9,-,-
TF12,0-9,-,-
TF13,0-9,-,-
TF5,0-9,-,-
TF6,0-9,-,-
TF8,0-9,-,-
TN10,0-9,-,-
TN13,0-9,-,-
TN17,0-9,-,-
TN18,0-9,-,-
TN19,0-9,-,-
TN20,0-9,-,-
TN26,0-9,-,-
TN28,0-9,-,-
TN3,0-9,-,-
TN30,0-9,-,-
TN32,0-9,-,-
TN36,0-9,-,-
TN5,0-9,-,-
TN7,0-9,-,-
TQ10,0-9,-,-
TQ11,0-9,-,-
TQ4,0-9,-,-
TQ5,0-9,-,-
TQ6,0-9,-,-
TQ7,0-9,-,-
TQ8,0-9,-,-
TQ9,0-9,-,-
TR10,0-9,-,-
TR12,0-9,-,-
TR13,0-9,-,-
TR16,0-9,-,-
TR17,0-9,-,-
TR19,0-9,-,-
TR2,0-9,-,-
TR21,0-9,-,-
TR22,0-9,-,-
TR23,0-9,-,-
TR24,0-9,-,-
TR25,0-9,-,-
TR3,0-9,-,-
TR5,0-9,-,-
TR6,0-9,-,-
TS11,0-9,-,-
TS13,0-9,-,-
TS14,0-9,-,-
TS15,0-9,-,-
TS16,0-9,-,-
TS2,0-9,-,-
TS21,0-9,-,-
TS22,0-9,-,-
TS28,0-9,-,-
TS29,0-9,-,-
TS9,0-9,-,-
TW1,0-9,-,-
TW10,0-9,-,-
TW12,0-9,-,-
TW17,0-9,-,-
TW6,0-9,-,-
TW9,0-9,-,-
W1B,0-9,-,-
W1C,0-9,-,-
W1D,0-9,-,-
W1F,0-9,-,-
W1G,0-9,-,-
W1H,0-9,-,-
W1J,0-9,-,-
W1K,0-9,-,-
W1S,0-9,-,-
W1T,0-9,-,-
W1U,0-9,-,-
W1W,0-9,-,-
W2,0-9,-,-
W8,0-9,-,-
WA13,0-9,-,-
WC1A,0-9,-,-
WC1B,0-9,-,-
WC1E,0-9,-,-
WC1H,0-9,-,-
WC1N,0-9,-,-
WC1R,0-9,-,-
WC1V,0-9,-,-
WC1X,0-9,-,-
WC2A,0-9,-,-
WC2B,0-9,-,-
WC2E,0-9,-,-
WC2H,0-9,-,-
WC2N,0-9,-,-
WC2R,0-9,-,-
WD17,0-9,-,-
WD18,0-9,-,-
WD5,0-9,-,-
WD7,0-9,-,-
WF16,0-9,-,-
WR1,0-9,-,-
WR12,0-9,-,-
WR13,0-9,-,-
WR15,0-9,-,-
WR6,0-9,-,-
WR7,0-9,-,-
WR8,0-9,-,-
WV15,0-9,-,-
WV16,0-9,-,-
WV7,0-9,-,-
WV9,0-9,-,-
YO1,0-9,-,-
YO10,0-9,-,-
YO13,0-9,-,-
YO14,0-9,-,-
YO15,0-9,-,-
YO18,0-9,-,-
YO19,0-9,-,-
YO22,0-9,-,-
YO23,0-9,-,-
YO30,0-9,-,-
YO32,0-9,-,-
YO41,0-9,-,-
YO42,0-9,-,-
YO43,0-9,-,-
YO51,0-9,-,-
YO60,0-9,-,-
YO61,0-9,-,-
YO62,0-9,-,-
YO7,0-9,-,-
